node1,node2,weight
300000,28310,0.0
300001,28311,0.0
300002,28312,0.0
300003,28313,0.0
300004,28314,0.0
300005,28315,0.0
300006,28316,0.0
300007,28317,0.0
300008,28318,0.0
300009,28319,0.0
300010,28320,0.0
300011,28321,0.0
300012,28322,0.0
300013,28323,0.0
300014,28324,0.0
300015,28325,0.0
300016,28326,0.0
300017,28327,0.0
300018,28328,0.0
300019,28329,0.0
300020,28330,0.0
300021,28331,0.0
300022,28332,0.0
300023,28333,0.0
300024,28334,0.0
300025,28335,0.0
300026,28336,0.0
300027,28337,0.0
300028,28338,0.0
300029,28339,0.0
300030,28340,0.0
300031,28341,0.0
300032,28342,0.0
300033,28343,0.0
300034,28344,0.0
300035,28345,0.0
300036,28346,0.0
300037,28347,0.0
300038,28348,0.0
300039,28349,0.0
300040,28350,0.0
300041,28351,0.0
300042,28352,0.0
300043,28353,0.0
300044,28354,0.0
300045,28355,0.0
300046,28356,0.0
300047,28357,0.0
300048,28358,0.0
300049,28359,0.0
300050,28360,0.0
300051,28361,0.0
300052,28362,0.0
300053,28363,0.0
300054,28364,0.0
300055,28365,0.0
300056,28366,0.0
300057,28367,0.0
300058,28368,0.0
300059,28369,0.0
300060,28370,0.0
300061,28371,0.0
300062,28372,0.0
300063,28373,0.0
300064,28374,0.0
300065,28375,0.0
300066,28376,0.0
300067,28377,0.0
300068,28378,0.0
300069,28379,0.0
300070,28380,0.0
300071,28381,0.0
300072,28382,0.0
300073,28383,0.0
300074,28384,0.0
300075,28385,0.0
300076,28386,0.0
300077,28387,0.0
300078,28388,0.0
300079,28389,0.0
300080,28390,0.0
300081,28391,0.0
300082,28392,0.0
300083,28393,0.0
300084,28394,0.0
300085,28395,0.0
300086,28396,0.0
300087,28397,0.0
300088,28398,0.0
300089,28399,0.0
300090,28400,0.0
300091,28401,0.0
300092,28402,0.0
300093,28403,0.0
300094,28404,0.0
300095,28405,0.0
300096,28406,0.0
300097,28407,0.0
300098,28408,0.0
300099,28409,0.0
300100,28410,0.0
300101,28411,0.0
300102,28412,0.0
300103,28413,0.0
300104,28414,0.0
300105,28415,0.0
300106,28416,0.0
300107,28417,0.0
300108,28418,0.0
300109,28419,0.0
300110,28420,0.0
300111,28421,0.0
300112,28422,0.0
300113,28423,0.0
300114,28424,0.0
300115,28425,0.0
300116,28426,0.0
300117,28427,0.0
300118,28428,0.0
300119,28429,0.0
300120,28430,0.0
300121,28431,0.0
300122,28432,0.0
300123,28433,0.0
300124,28434,0.0
300125,28435,0.0
300126,28436,0.0
300127,28437,0.0
300128,28438,0.0
300129,28439,0.0
300130,28440,0.0
300131,28441,0.0
300132,28442,0.0
300133,28443,0.0
300134,28444,0.0
300135,28445,0.0
300136,28446,0.0
300137,28447,0.0
300138,28448,0.0
300139,28449,0.0
300140,28450,0.0
300141,28451,0.0
300142,28452,0.0
300143,28453,0.0
300144,28454,0.0
300145,28455,0.0
300146,28456,0.0
300147,28457,0.0
300148,28458,0.0
300149,28459,0.0
300150,28460,0.0
300151,28461,0.0
300152,28462,0.0
300153,28463,0.0
300154,28464,0.0
300155,28465,0.0
300156,28466,0.0
300157,28467,0.0
300158,28468,0.0
300159,28469,0.0
300160,28470,0.0
300161,28471,0.0
300162,28472,0.0
300163,28473,0.0
300164,28474,0.0
300165,28475,0.0
300166,28476,0.0
300167,28477,0.0
300168,28478,0.0
300169,28479,0.0
300170,28480,0.0
300171,28481,0.0
300172,28482,0.0
300173,28483,0.0
300174,28484,0.0
300175,28485,0.0
300176,28486,0.0
300177,28487,0.0
300178,28488,0.0
300179,28489,0.0
300180,28490,0.0
300181,28491,0.0
300182,28492,0.0
300183,28493,0.0
300184,28494,0.0
300185,28495,0.0
300186,28496,0.0
300187,28497,0.0
300188,28498,0.0
300189,28499,0.0
300190,28500,0.0
300191,28501,0.0
300192,28502,0.0
300193,28503,0.0
300194,28504,0.0
300195,28505,0.0
300196,28506,0.0
300197,28507,0.0
300198,28508,0.0
300199,28509,0.0
300200,28510,0.0
300201,28511,0.0
300202,28512,0.0
300203,28513,0.0
300204,28514,0.0
300205,28515,0.0
300206,28516,0.0
300207,28517,0.0
300208,28518,0.0
300209,28519,0.0
300210,28520,0.0
300211,28521,0.0
300212,28522,0.0
300213,28523,0.0
300214,28524,0.0
300215,28525,0.0
300216,28526,0.0
300217,28527,0.0
300218,28528,0.0
300219,28529,0.0
300220,28530,0.0
300221,28531,0.0
300222,28532,0.0
300223,28533,0.0
300224,28534,0.0
300225,28535,0.0
300226,28536,0.0
300227,28537,0.0
300228,28538,0.0
300229,28539,0.0
300230,28540,0.0
300231,28541,0.0
300232,28542,0.0
300233,28543,0.0
300234,28544,0.0
300235,28545,0.0
300236,28546,0.0
300237,28547,0.0
300238,28548,0.0
300239,28549,0.0
300240,28550,0.0
300241,28551,0.0
300242,28552,0.0
300243,28553,0.0
300244,28554,0.0
300245,28555,0.0
300246,28556,0.0
300247,28557,0.0
300248,28558,0.0
300249,28559,0.0
300250,28560,0.0
300251,28561,0.0
300252,28562,0.0
300253,28563,0.0
300254,28564,0.0
300255,28565,0.0
300256,28566,0.0
300257,28567,0.0
300258,28568,0.0
300259,28569,0.0
300260,28570,0.0
300261,28571,0.0
300262,28572,0.0
300263,28573,0.0
300264,28574,0.0
300265,28575,0.0
300266,28576,0.0
300267,28577,0.0
300268,28578,0.0
300269,28579,0.0
300270,28580,0.0
300271,28581,0.0
300272,28582,0.0
300273,28583,0.0
300274,28584,0.0
300275,28585,0.0
300276,28586,0.0
300277,28587,0.0
300278,28588,0.0
300279,28589,0.0
