node1,node2,weight
0,271690,0.0
1,271691,0.0
2,271692,0.0
3,271693,0.0
4,271694,0.0
5,271695,0.0
6,271696,0.0
7,271697,0.0
8,271698,0.0
9,271699,0.0
10,271700,0.0
11,271701,0.0
12,271702,0.0
13,271703,0.0
14,271704,0.0
15,271705,0.0
16,271706,0.0
17,271707,0.0
18,271708,0.0
19,271709,0.0
20,271710,0.0
21,271711,0.0
22,271712,0.0
23,271713,0.0
24,271714,0.0
25,271715,0.0
26,271716,0.0
27,271717,0.0
28,271718,0.0
29,271719,0.0
30,271720,0.0
31,271721,0.0
32,271722,0.0
33,271723,0.0
34,271724,0.0
35,271725,0.0
36,271726,0.0
37,271727,0.0
38,271728,0.0
39,271729,0.0
40,271730,0.0
41,271731,0.0
42,271732,0.0
43,271733,0.0
44,271734,0.0
45,271735,0.0
46,271736,0.0
47,271737,0.0
48,271738,0.0
49,271739,0.0
50,271740,0.0
51,271741,0.0
52,271742,0.0
53,271743,0.0
54,271744,0.0
55,271745,0.0
56,271746,0.0
57,271747,0.0
58,271748,0.0
59,271749,0.0
60,271750,0.0
61,271751,0.0
62,271752,0.0
63,271753,0.0
64,271754,0.0
65,271755,0.0
66,271756,0.0
67,271757,0.0
68,271758,0.0
69,271759,0.0
70,271760,0.0
71,271761,0.0
72,271762,0.0
73,271763,0.0
74,271764,0.0
75,271765,0.0
76,271766,0.0
77,271767,0.0
78,271768,0.0
79,271769,0.0
80,271770,0.0
81,271771,0.0
82,271772,0.0
83,271773,0.0
84,271774,0.0
85,271775,0.0
86,271776,0.0
87,271777,0.0
88,271778,0.0
89,271779,0.0
90,271780,0.0
91,271781,0.0
92,271782,0.0
93,271783,0.0
94,271784,0.0
95,271785,0.0
96,271786,0.0
97,271787,0.0
98,271788,0.0
99,271789,0.0
100,271790,0.0
101,271791,0.0
102,271792,0.0
103,271793,0.0
104,271794,0.0
105,271795,0.0
106,271796,0.0
107,271797,0.0
108,271798,0.0
109,271799,0.0
110,271800,0.0
111,271801,0.0
112,271802,0.0
113,271803,0.0
114,271804,0.0
115,271805,0.0
116,271806,0.0
117,271807,0.0
118,271808,0.0
119,271809,0.0
120,271810,0.0
121,271811,0.0
122,271812,0.0
123,271813,0.0
124,271814,0.0
125,271815,0.0
126,271816,0.0
127,271817,0.0
128,271818,0.0
