node1,node2,weight
501439,230144,18.333333333333332
229915,501834,13.333333333333334
226258,230145,154.41666666666666
217153,501835,611.5833333333334
498947,230146,114.33333333333333
227637,501836,98.0
500286,230147,63.166666666666664
498310,501837,138.16666666666666
501813,230148,1.0
230116,501838,1.5
214463,230149,714.1666666666666
498353,501839,137.0
501421,230150,19.0
229955,501840,12.333333333333334
226043,230151,160.91666666666666
226581,501841,139.25
501348,230152,20.916666666666668
500863,501842,40.5
501502,230153,16.533333333333335
500473,501843,56.85
229987,230154,11.5
501814,501844,1.0
227465,230155,108.33333333333333
228753,501845,58.666666666666664
226641,230156,137.83333333333334
230134,501846,0.5833333333333334
223766,230157,346.9166666666667
501815,501847,1.0
501818,230158,0.9666666666666667
230118,501848,1.45
406060,230159,4700.083333333333
229027,501849,44.75
501674,230160,11.75
230137,501850,0.5833333333333334
501817,230161,1.0
230117,501851,1.5
230050,230162,8.833333333333334
501748,501852,8.333333333333334
499831,230163,83.16666666666667
228494,501853,66.75
230120,230164,1.5
230129,501854,1.0
500799,230165,42.75
229487,501855,27.916666666666668
498482,230166,133.83333333333334
499324,501856,99.0
497729,230167,161.5
226003,501857,162.5
229156,230168,41.43333333333333
228783,501858,57.31666666666667
230122,230169,1.5
501823,501859,1.0
498965,230170,114.16666666666667
498950,501860,114.75
228723,230171,60.083333333333336
230147,501861,0.5833333333333334
229801,230172,17.333333333333332
229678,501862,20.916666666666668
501838,230173,0.5
501821,501863,1.0
230119,230174,1.75
501820,501864,1.1666666666666667
230124,230175,1.5
230135,501865,1.0
230121,230176,1.75
501822,501866,1.1666666666666667
230125,230177,1.5
230136,501867,1.0
497073,230178,187.0
501824,501868,1.1666666666666667
230126,230179,1.5
501829,501869,1.0
501851,230180,0.5333333333333333
501830,501870,1.0166666666666666
230142,230181,1.0
501819,501871,1.5
501740,230182,9.333333333333334
230038,501872,10.0
501692,230183,11.75
501827,501873,1.1666666666666667
499329,230184,98.5
227639,501874,98.5
500184,230185,67.33333333333333
501828,501875,1.1666666666666667
501848,230186,0.7166666666666667
501831,501876,1.1833333333333333
501840,230187,1.0
501812,501877,2.0
494584,230188,379.1666666666667
501839,501878,1.0
501843,230189,0.9666666666666667
230168,501879,0.5
230131,230190,1.5
230148,501880,1.0
229489,230191,28.0
501833,501881,1.1666666666666667
230152,230192,1.0
501862,501882,0.5
227275,230193,114.75
501835,501883,1.1666666666666667
226643,230194,138.75
501837,501884,1.1666666666666667
230154,230195,1.0
501825,501885,1.5
501841,230196,1.1666666666666667
501809,501886,2.3333333333333335
230157,230197,1.0
501826,501887,1.5
501845,230198,1.1666666666666667
501811,501888,2.3333333333333335
501849,230199,1.0
501816,501889,2.0
230140,230200,1.4833333333333334
230161,501890,1.0
230141,230201,1.5333333333333334
230158,501891,1.0666666666666667
501854,230202,1.0
501832,501892,1.5
230144,230203,1.5
501852,501893,1.0
230178,230204,0.5833333333333334
501846,501894,1.1666666666666667
230183,230205,0.5833333333333334
501850,501895,1.1666666666666667
230146,230206,1.5
501856,501896,1.0
501858,230207,0.9833333333333333
230153,501897,1.45
230149,230208,1.5
230167,501898,1.0
501880,230209,0.5
501863,501899,1.0
230138,230210,1.75
230163,501900,1.1666666666666667
230133,230211,2.0
230150,501901,1.5
230172,230212,1.0
501842,501902,1.5
501865,230213,1.0
501844,501903,1.5
230143,230214,1.75
230165,501904,1.1666666666666667
501867,230215,1.0
501847,501905,1.5
230145,230216,1.75
230170,501906,1.1666666666666667
230194,230217,0.5833333333333334
501861,501907,1.1666666666666667
230139,230218,2.0
230159,501908,1.5
230200,230219,0.48333333333333334
501870,501909,0.95
230130,230220,2.3333333333333335
230151,501910,1.75
501891,230221,0.48333333333333334
230186,501911,0.8333333333333334
230164,230222,1.5
501871,501912,1.0
230132,230223,2.3333333333333335
230155,501913,1.75
501872,230224,1.0
501834,501914,2.0
230156,230225,1.75
501868,501915,1.1666666666666667
501874,230226,1.0
501836,501916,2.0
501897,230227,0.5166666666666667
501879,501917,1.0
230169,230228,1.5
230187,501918,1.0
230188,230229,1.0
501857,501919,1.5
230160,230230,1.75
501873,501920,1.1666666666666667
230190,230231,1.0
230173,501921,1.5
230192,230232,1.0
230212,501922,0.5
230175,230233,1.5
501885,501923,1.0
230185,230234,1.1666666666666667
501853,501924,1.75
230191,230235,1.1666666666666667
501855,501925,1.75
230177,230236,1.5
501887,501926,1.0
230193,230237,1.1666666666666667
501860,501927,1.75
230179,230238,1.5
230199,501928,1.0
501876,230239,1.2833333333333334
230201,501929,0.9333333333333333
230171,230240,1.75
501884,501930,1.1666666666666667
230180,230241,1.4666666666666666
501890,501931,1.0
230162,230242,2.0
230182,501932,1.5
230174,230243,1.75
230196,501933,1.1666666666666667
230181,230244,1.5
230202,501934,1.0
230176,230245,1.75
230198,501935,1.1666666666666667
230166,230246,2.0
230184,501936,1.5
230204,230247,1.1666666666666667
230225,501937,0.5833333333333334
230189,230248,1.5
230207,501938,1.0166666666666666
501898,230249,1.0
501878,501939,1.5
501882,230250,1.5
501902,501940,1.0
501901,230251,1.0
501859,501941,2.0
229142,230252,43.9
501450,501942,20.783333333333335
230195,230253,1.5
230213,501943,1.0
230205,230254,1.1666666666666667
230230,501944,0.5833333333333334
230197,230255,1.5
230215,501945,1.0
501900,230256,1.1666666666666667
501875,501946,1.75
501904,230257,1.1666666666666667
501881,501947,1.75
501908,230258,1.0
501869,501948,2.0
501441,230259,21.233333333333334
498342,501949,140.15
226016,230260,164.51666666666668
500206,501950,68.55
501906,230261,1.1666666666666667
501883,501951,1.75
230203,230262,1.5
230224,501952,1.0
501912,230263,1.0
501892,501953,1.5
230217,230264,1.1666666666666667
230240,501954,0.5833333333333334
501910,230265,1.1666666666666667
501864,501955,2.3333333333333335
230206,230266,1.5
230226,501956,1.0
230211,230267,1.5
501877,501957,2.0
230208,230268,1.5
501919,501958,1.0
501913,230269,1.1666666666666667
501866,501959,2.3333333333333335
498960,230270,116.95
229771,501960,20.783333333333335
501923,230271,1.0
501903,501961,1.5
501940,230272,0.5833333333333334
501922,501962,1.0833333333333333
501915,230273,1.1666666666666667
501894,501963,1.75
230248,230274,0.5833333333333334
501938,501964,0.5833333333333334
501926,230275,1.0
501905,501965,1.5
501920,230276,1.1666666666666667
501895,501966,1.75
230218,230277,1.5
501889,501967,2.0
230234,230278,1.1666666666666667
230256,501968,0.5833333333333334
228242,230279,79.9
227883,501969,93.38333333333334
499728,230280,89.05
228505,501970,69.4
230235,230281,1.1666666666666667
230257,501971,0.5833333333333334
230244,230282,1.0
230222,501972,1.5
501932,230283,1.0
501893,501973,2.0
501936,230284,1.0
501896,501974,2.0
230237,230285,1.1666666666666667
230261,501975,0.5833333333333334
501907,230286,1.75
501930,501976,1.1666666666666667
230220,230287,1.75
501886,501977,2.3333333333333335
230227,230288,1.5
501917,501978,1.5
230228,230289,1.5
230251,501979,1.0
230229,230290,1.5
230249,501980,1.0
501942,230291,0.9833333333333333
230270,501981,0.5
230253,230292,1.0
230233,501982,1.5
230223,230293,1.75
501888,501983,2.3333333333333335
230250,230294,1.0833333333333333
230232,501984,1.5833333333333333
501937,230295,1.1666666666666667
230273,501985,0.5833333333333334
230255,230296,1.0
230236,501986,1.5
230238,230297,1.5
230258,501987,1.0
501944,230298,1.1666666666666667
230276,501988,0.5833333333333334
501949,230299,1.0
230279,501989,0.5
501950,230300,1.0166666666666666
230280,501990,0.5166666666666667
230210,230301,2.3333333333333335
501924,501991,1.75
230242,230302,1.5
501914,501992,2.0
230214,230303,2.3333333333333335
501925,501993,1.75
230246,230304,1.5
501916,501994,2.0
230216,230305,2.3333333333333335
501927,501995,1.75
501366,230306,24.5
226667,501996,140.88333333333333
501954,230307,1.1666666666666667
230286,501997,0.5833333333333334
230267,230308,1.0
501918,501998,2.0
501958,230309,1.0
501939,501999,1.5
501368,230310,24.416666666666668
496022,502000,328.4166666666667
501960,230311,1.0333333333333334
230252,502001,1.5166666666666666
501953,230312,1.25
230282,502002,0.75
230243,230313,1.75
230265,502003,1.1666666666666667
230245,230314,1.75
230269,502004,1.1666666666666667
501961,230315,1.0833333333333333
501943,502005,1.5833333333333333
501969,230316,0.9833333333333333
230259,502006,1.4833333333333334
230247,230317,1.75
501963,502007,1.1666666666666667
230277,230318,1.0
501928,502008,2.0
230254,230319,1.75
501966,502009,1.1666666666666667
501965,230320,1.1666666666666667
230275,502010,1.1666666666666667
230262,230321,1.5
230283,502011,1.0
501970,230322,1.0333333333333334
230260,502012,1.5333333333333334
230278,230323,1.1666666666666667
230301,502013,0.5833333333333334
230266,230324,1.5
230284,502014,1.0
495477,230325,350.48333333333335
229795,502015,21.483333333333334
