node1,node2,weight
400000,128310,0.0
400001,128311,0.0
400002,128312,0.0
400003,128313,0.0
400004,128314,0.0
400005,128315,0.0
400006,128316,0.0
400007,128317,0.0
400008,128318,0.0
400009,128319,0.0
400010,128320,0.0
400011,128321,0.0
400012,128322,0.0
400013,128323,0.0
400014,128324,0.0
400015,128325,0.0
400016,128326,0.0
400017,128327,0.0
400018,128328,0.0
400019,128329,0.0
400020,128330,0.0
400021,128331,0.0
400022,128332,0.0
400023,128333,0.0
400024,128334,0.0
400025,128335,0.0
400026,128336,0.0
400027,128337,0.0
400028,128338,0.0
400029,128339,0.0
400030,128340,0.0
400031,128341,0.0
400032,128342,0.0
400033,128343,0.0
400034,128344,0.0
400035,128345,0.0
400036,128346,0.0
400037,128347,0.0
400038,128348,0.0
400039,128349,0.0
400040,128350,0.0
400041,128351,0.0
400042,128352,0.0
400043,128353,0.0
400044,128354,0.0
400045,128355,0.0
400046,128356,0.0
400047,128357,0.0
400048,128358,0.0
400049,128359,0.0
400050,128360,0.0
400051,128361,0.0
400052,128362,0.0
400053,128363,0.0
400054,128364,0.0
400055,128365,0.0
400056,128366,0.0
400057,128367,0.0
400058,128368,0.0
400059,128369,0.0
400060,128370,0.0
400061,128371,0.0
400062,128372,0.0
400063,128373,0.0
400064,128374,0.0
400065,128375,0.0
400066,128376,0.0
400067,128377,0.0
400068,128378,0.0
400069,128379,0.0
400070,128380,0.0
400071,128381,0.0
400072,128382,0.0
400073,128383,0.0
400074,128384,0.0
400075,128385,0.0
400076,128386,0.0
400077,128387,0.0
400078,128388,0.0
400079,128389,0.0
400080,128390,0.0
400081,128391,0.0
400082,128392,0.0
400083,128393,0.0
400084,128394,0.0
400085,128395,0.0
400086,128396,0.0
400087,128397,0.0
400088,128398,0.0
400089,128399,0.0
400090,128400,0.0
400091,128401,0.0
400092,128402,0.0
400093,128403,0.0
400094,128404,0.0
400095,128405,0.0
400096,128406,0.0
400097,128407,0.0
400098,128408,0.0
400099,128409,0.0
400100,128410,0.0
400101,128411,0.0
400102,128412,0.0
400103,128413,0.0
400104,128414,0.0
400105,128415,0.0
400106,128416,0.0
400107,128417,0.0
400108,128418,0.0
400109,128419,0.0
400110,128420,0.0
