node1,node2,weight
100000,371690,0.0
100001,371691,0.0
100002,371692,0.0
100003,371693,0.0
100004,371694,0.0
100005,371695,0.0
100006,371696,0.0
100007,371697,0.0
100008,371698,0.0
100009,371699,0.0
100010,371700,0.0
100011,371701,0.0
100012,371702,0.0
100013,371703,0.0
100014,371704,0.0
100015,371705,0.0
100016,371706,0.0
100017,371707,0.0
100018,371708,0.0
100019,371709,0.0
100020,371710,0.0
100021,371711,0.0
100022,371712,0.0
100023,371713,0.0
100024,371714,0.0
100025,371715,0.0
100026,371716,0.0
100027,371717,0.0
100028,371718,0.0
100029,371719,0.0
100030,371720,0.0
100031,371721,0.0
100032,371722,0.0
100033,371723,0.0
100034,371724,0.0
100035,371725,0.0
100036,371726,0.0
100037,371727,0.0
100038,371728,0.0
100039,371729,0.0
100040,371730,0.0
100041,371731,0.0
100042,371732,0.0
100043,371733,0.0
100044,371734,0.0
100045,371735,0.0
100046,371736,0.0
100047,371737,0.0
100048,371738,0.0
100049,371739,0.0
100050,371740,0.0
100051,371741,0.0
100052,371742,0.0
100053,371743,0.0
100054,371744,0.0
100055,371745,0.0
100056,371746,0.0
100057,371747,0.0
100058,371748,0.0
100059,371749,0.0
100060,371750,0.0
100061,371751,0.0
100062,371752,0.0
100063,371753,0.0
100064,371754,0.0
100065,371755,0.0
100066,371756,0.0
100067,371757,0.0
100068,371758,0.0
100069,371759,0.0
100070,371760,0.0
100071,371761,0.0
100072,371762,0.0
100073,371763,0.0
100074,371764,0.0
100075,371765,0.0
100076,371766,0.0
100077,371767,0.0
100078,371768,0.0
100079,371769,0.0
100080,371770,0.0
100081,371771,0.0
100082,371772,0.0
100083,371773,0.0
100084,371774,0.0
100085,371775,0.0
100086,371776,0.0
100087,371777,0.0
100088,371778,0.0
100089,371779,0.0
100090,371780,0.0
100091,371781,0.0
100092,371782,0.0
100093,371783,0.0
100094,371784,0.0
100095,371785,0.0
100096,371786,0.0
100097,371787,0.0
100098,371788,0.0
100099,371789,0.0
100100,371790,0.0
100101,371791,0.0
100102,371792,0.0
100103,371793,0.0
100104,371794,0.0
100105,371795,0.0
100106,371796,0.0
100107,371797,0.0
100108,371798,0.0
100109,371799,0.0
100110,371800,0.0
100111,371801,0.0
100112,371802,0.0
100113,371803,0.0
100114,371804,0.0
100115,371805,0.0
100116,371806,0.0
100117,371807,0.0
100118,371808,0.0
100119,371809,0.0
100120,371810,0.0
100121,371811,0.0
100122,371812,0.0
100123,371813,0.0
100124,371814,0.0
100125,371815,0.0
100126,371816,0.0
100127,371817,0.0
100128,371818,0.0
100129,371819,0.0
100130,371820,0.0
100131,371821,0.0
100132,371822,0.0
100133,371823,0.0
100134,371824,0.0
100135,371825,0.0
100136,371826,0.0
100137,371827,0.0
100138,371828,0.0
100139,371829,0.0
100140,371830,0.0
100141,371831,0.0
100142,371832,0.0
100143,371833,0.0
100144,371834,0.0
100145,371835,0.0
100146,371836,0.0
100147,371837,0.0
100148,371838,0.0
100149,371839,0.0
100150,371840,0.0
100151,371841,0.0
100152,371842,0.0
100153,371843,0.0
